0,0,0,0,0,0,100,
0.079,45.828,5.24,0.114,0.079,16.165,32.494,
0,0,0,0,0,0,100,
0.079,45.828,5.24,0.114,0.079,16.165,32.494,
1.077,0.009,0.004,0.016,0.004,0.005,98.884,
0,0,0,0,0,0,100,
0,0,0,0,0,0,99.999,
0.003,0.016,99.93,0.001,0.001,0.032,0.017,
0.029,0.002,0.818,0.006,0.025,0.002,99.116,
0,0,0,0.003,0.004,0,99.992,
0,0,0,0,0,0,100,
0.001,0.002,0.012,0.001,0.002,0.001,99.982,
1.234,0.054,5.835,24.639,0.166,0.103,67.969,
0,0,0,0,0,0,99.999,
0,0,0,0.072,0,0,99.928,
0.325,0.02,0.001,0.001,0.001,0.001,99.65,
0,0,0,0,0,0,100,
0.022,0.008,0.381,0.004,0.004,0.004,99.578,
0.41,8.845,2.001,0.043,0.015,0.015,88.672,
0,0,0,0,0.001,0,99.999,
0,0,0,99.999,0,0,0,
0,0,0,3.146,96.834,0,0.02,
0.003,0.002,0.002,99.497,0.475,0.018,0.002,
0.007,97.049,0.005,0.674,1.203,1.045,0.018,
0.104,0.082,0.082,84.864,13.422,1.365,0.082,
0.03,0.015,0.07,9.728,90.125,0.015,0.015,
0.012,77.797,0.012,21.185,0.925,0.056,0.012,
0,0,0.001,0.002,99.823,0.171,0.002,
0.106,2.441,0.047,38.185,0.047,0.047,59.126,
1.537,0.031,0.092,0.2,0.675,97.336,0.129,
0.531,0.531,11.1,0.961,66.527,1.95,18.401,
0.01,1.276,0.029,98.604,0.01,0.06,0.01,
43.382,0.035,0.035,6.612,49.78,0.121,0.035,
0.176,0.385,92.853,0.105,1.463,4.702,0.316,
0.178,0.382,92.84,0.105,1.471,4.709,0.315,
0.319,0.419,0.018,98.773,0.38,0.073,0.018,
0.003,0.127,0.033,99.41,0.009,0.003,0.417,
0,0,0,99.998,0.001,0,0,
0,0.058,0,99.942,0,0,0,
0.001,0.001,0.558,3.696,88.002,0.001,7.743,
0.264,0.04,0.117,98.47,0.04,0.876,0.194,
0.215,0.008,31.544,67.39,0.008,0.826,0.008,
4.525,0.199,0.075,89.328,4.184,0.081,1.608,
0.043,0.002,0.002,99.897,0.006,0.002,0.048,
0.02,0.048,0.008,4.347,0.008,1.433,94.136,
0.003,0.002,0.195,99.796,0,0.004,0,
15.621,22.449,0.071,61.735,0.023,0.079,0.023,
0,0.001,0,99.996,0.001,0.002,0,
0.054,4.399,0.01,95.483,0.01,0.033,0.01,
0,0.001,0,99.997,0,0,0.001,
0,0,0.005,99.995,0,0,0,
0.02,14.646,75.197,9.695,0.4,0.02,0.023,
0.152,0.002,0.002,91.755,0.048,8.031,0.01,
0.02,14.646,75.197,9.695,0.4,0.02,0.023,
0.143,0.002,0.002,91.916,0.048,7.88,0.009,
29.067,0.151,2.613,61.784,2.465,3.545,0.377,
29.302,0.153,2.635,61.442,2.48,3.607,0.381,
0,0,0,100,0,0,0,
0.023,8.207,0.399,72.786,0.023,18.539,0.023,
0,0.001,0,99.997,0,0,0.001,
0.035,2.14,0.03,0.218,1.079,96.229,0.269,
0.035,2.134,0.03,0.218,1.077,96.238,0.268,
0,0,0.018,0.013,0.002,99.967,0,
0.013,0.416,0.001,0.001,0.001,99.562,0.004,
0.009,0.697,0.022,0.431,10.751,88.082,0.009,
0.008,0.001,0,0.007,0.004,99.979,0,
0.001,1.9,0.086,1.123,0.001,96.886,0.003,
0.008,0.635,0.008,0.032,0.067,99.057,0.193,
0.305,32.983,50.202,11.165,0.312,3.672,1.362,
0.033,0.033,0.033,0.383,0.206,78.119,21.192,
0.089,41.331,0.522,0.089,12.443,45.437,0.089,
0.009,0.009,0.657,96.79,0.009,1.353,1.174,
0.003,0.019,0.003,0.1,99.597,0.109,0.169,
0.03,0.03,0.106,38.36,60.642,0.759,0.072,
0,0,0.066,0.04,0,99.893,0,
0.666,1.053,0.056,97.157,0.389,0.653,0.027,
0.015,3.037,1.738,68.095,0.187,26.913,0.015,
0.001,14.461,0.001,0.035,85.062,0.44,0.001,
0.007,3.638,0.102,0.19,0.007,96.049,0.007,
91.221,0.537,0.059,0.059,1.538,6.38,0.206,
